"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"P2227","P","app-only","Барометрическое Давление Цепь Диапазон/Производительность",,"Барометрическое Давление Цепь Диапазон/Производительность"
"P2228","P","app-only","Барометрическое Давление Цепь Низкий",,"Барометрическое Давление Цепь Низкий"
"P2229","P","app-only","Барометрическое Давление Цепь Высокий",,"Барометрическое Давление Цепь Высокий"
"P2230","P","app-only","Барометрическое Давление Цепь Прерывистый",,"Барометрическое Давление Цепь Прерывистый"
"P2231","P","app-only","O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь",,"O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь"
"P2232","P","app-only","O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь",,"O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь"
"P2233","P","app-only","O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь",,"O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь"
"P2234","P","app-only","O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь",,"O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь"
"P2235","P","app-only","O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь",,"O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь"
"P2236","P","app-only","O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь",,"O2 Датчик Сигнал Цепь Shorted to Нагреватель Цепь"
"P2237","P","app-only","O2 Датчик Positive Current Управление Цепь/Обрыв",,"O2 Датчик Positive Current Управление Цепь/Обрыв"
"P2238","P","app-only","O2 Датчик Positive Current Управление Цепь Низкий",,"O2 Датчик Positive Current Управление Цепь Низкий"
"P2239","P","app-only","O2 Датчик Positive Current Управление Цепь Высокий",,"O2 Датчик Positive Current Управление Цепь Высокий"
"P2240","P","app-only","O2 Датчик Positive Current Управление Цепь/Обрыв",,"O2 Датчик Positive Current Управление Цепь/Обрыв"
"P2241","P","app-only","O2 Датчик Positive Current Управление Цепь Низкий",,"O2 Датчик Positive Current Управление Цепь Низкий"
"P2242","P","app-only","O2 Датчик Positive Current Управление Цепь Высокий",,"O2 Датчик Positive Current Управление Цепь Высокий"
"P2243","P","app-only","O2 Датчик Reference Напряжение Цепь/Обрыв",,"O2 Датчик Reference Напряжение Цепь/Обрыв"
"P2244","P","app-only","O2 Датчик Reference Напряжение Производительность",,"O2 Датчик Reference Напряжение Производительность"
"P2245","P","app-only","O2 Датчик Reference Напряжение Цепь Низкий",,"O2 Датчик Reference Напряжение Цепь Низкий"
"P2246","P","app-only","O2 Датчик Reference Напряжение Цепь Высокий",,"O2 Датчик Reference Напряжение Цепь Высокий"
"P2247","P","app-only","O2 Датчик Reference Напряжение Цепь/Обрыв",,"O2 Датчик Reference Напряжение Цепь/Обрыв"
"P2248","P","app-only","O2 Датчик Reference Напряжение Производительность",,"O2 Датчик Reference Напряжение Производительность"
"P2249","P","app-only","O2 Датчик Reference Напряжение Цепь Низкий",,"O2 Датчик Reference Напряжение Цепь Низкий"
"P2250","P","app-only","O2 Датчик Reference Напряжение Цепь Высокий",,"O2 Датчик Reference Напряжение Цепь Высокий"
"P2251","P","app-only","O2 Датчик Negative Current Управление Цепь/Обрыв",,"O2 Датчик Negative Current Управление Цепь/Обрыв"
"P2252","P","app-only","O2 Датчик Negative Current Управление Цепь Низкий",,"O2 Датчик Negative Current Управление Цепь Низкий"
"P2253","P","app-only","O2 Датчик Negative Current Управление Цепь Высокий",,"O2 Датчик Negative Current Управление Цепь Высокий"
"P2254","P","app-only","O2 Датчик Negative Current Управление Цепь/Обрыв",,"O2 Датчик Negative Current Управление Цепь/Обрыв"
"P2255","P","app-only","O2 Датчик Negative Current Управление Цепь Низкий",,"O2 Датчик Negative Current Управление Цепь Низкий"
"P2256","P","app-only","O2 Датчик Negative Current Управление Цепь Высокий",,"O2 Датчик Negative Current Управление Цепь Высокий"
"P2257","P","app-only","Secondary Воздух Injection Система Управление ",,"Secondary Воздух Injection Система Управление "
"P2258","P","app-only","Secondary Воздух Injection Система Управление ",,"Secondary Воздух Injection Система Управление "
"P2259","P","app-only","Secondary Воздух Injection Система Управление ",,"Secondary Воздух Injection Система Управление "
"P2260","P","app-only","Secondary Воздух Injection Система Управление ",,"Secondary Воздух Injection Система Управление "
"P2261","P","app-only","Турбо/Нагнетатель Байпас Клапан - Mechanical",,"Турбо/Нагнетатель Байпас Клапан - Mechanical"
"P2262","P","app-only","Турбо Наддув Давление Not Обнаружен - Mechanical",,"Турбо Наддув Давление Not Обнаружен - Mechanical"
"P2263","P","app-only","Турбо/Нагнетатель Наддув Система Производительность",,"Турбо/Нагнетатель Наддув Система Производительность"
"P2264","P","app-only","Water in Топливо Датчик Цепь",,"Water in Топливо Датчик Цепь"
"P2265","P","app-only","Water in Топливо Датчик Цепь Диапазон/Производительность",,"Water in Топливо Датчик Цепь Диапазон/Производительность"
"P2266","P","app-only","Water in Топливо Датчик Цепь Низкий",,"Water in Топливо Датчик Цепь Низкий"
"P2267","P","app-only","Water in Топливо Датчик Цепь Высокий",,"Water in Топливо Датчик Цепь Высокий"
"P2268","P","app-only","Water in Топливо Датчик Цепь Прерывистый",,"Water in Топливо Датчик Цепь Прерывистый"
"P2269","P","app-only","Water in Топливо Condition",,"Water in Топливо Condition"
"P2270","P","app-only","O2 Датчик Сигнал Заклинило Обеднённая",,"O2 Датчик Сигнал Заклинило Обеднённая"
"P2271","P","app-only","O2 Датчик Сигнал Заклинило Обогащённая",,"O2 Датчик Сигнал Заклинило Обогащённая"
"P2272","P","app-only","O2 Датчик Сигнал Заклинило Обеднённая",,"O2 Датчик Сигнал Заклинило Обеднённая"
"P2273","P","app-only","O2 Датчик Сигнал Заклинило Обогащённая",,"O2 Датчик Сигнал Заклинило Обогащённая"
"P2274","P","app-only","O2 Датчик Сигнал Заклинило Обеднённая",,"O2 Датчик Сигнал Заклинило Обеднённая"
"P2275","P","app-only","O2 Датчик Сигнал Заклинило Обогащённая",,"O2 Датчик Сигнал Заклинило Обогащённая"
"P2276","P","app-only","O2 Датчик Сигнал Заклинило Обеднённая",,"O2 Датчик Сигнал Заклинило Обеднённая"
"P2277","P","app-only","O2 Датчик Сигнал Заклинило Обогащённая",,"O2 Датчик Сигнал Заклинило Обогащённая"
"P2278","P","app-only","O2 Датчик Сигналы перепутаны Ряд 1 Датчик 3 / Ряд 2 Датчик 3",,"O2 Датчик Сигналы перепутаны Ряд 1 Датчик 3 / Ряд 2 Датчик 3"
"P2279","P","app-only","Впуск Воздух Система Утечка",,"Впуск Воздух Система Утечка"
"P2280","P","app-only","Воздух Поток Restriction / Воздух Утечка Between Воздух Filter and Расходомер воздуха",,"Воздух Поток Restriction / Воздух Утечка Between Воздух Filter and Расходомер воздуха"
"P2281","P","app-only","Воздух Утечка Between Расходомер воздуха and Дроссельная заслонка Кузов",,"Воздух Утечка Between Расходомер воздуха and Дроссельная заслонка Кузов"
"P2282","P","app-only","Воздух Утечка Between Дроссельная заслонка Кузов and Впуск Valves",,"Воздух Утечка Between Дроссельная заслонка Кузов and Впуск Valves"
"P2283","P","app-only","Форсунка Управление Давление Датчик Цепь",,"Форсунка Управление Давление Датчик Цепь"
"P2284","P","app-only","Форсунка Управление Давление Датчик Цепь Диапазон/Производительность",,"Форсунка Управление Давление Датчик Цепь Диапазон/Производительность"
"P2285","P","app-only","Форсунка Управление Давление Датчик Цепь Низкий",,"Форсунка Управление Давление Датчик Цепь Низкий"
"P2286","P","app-only","Форсунка Управление Давление Датчик Цепь Высокий",,"Форсунка Управление Давление Датчик Цепь Высокий"
"P2287","P","app-only","Форсунка Управление Давление Датчик Цепь Прерывистый",,"Форсунка Управление Давление Датчик Цепь Прерывистый"
"P2288","P","app-only","Форсунка Управление Давление Слишком высокий",,"Форсунка Управление Давление Слишком высокий"
"P2289","P","app-only","Форсунка Управление Давление Слишком высокий - Двигатель Off",,"Форсунка Управление Давление Слишком высокий - Двигатель Off"
"P2290","P","app-only","Форсунка Управление Давление Слишком низкий",,"Форсунка Управление Давление Слишком низкий"
"P2291","P","app-only","Форсунка Управление Давление Слишком низкий - Двигатель Cranking",,"Форсунка Управление Давление Слишком низкий - Двигатель Cranking"
"P2292","P","app-only","Форсунка Управление Давление Нестабильный",,"Форсунка Управление Давление Нестабильный"
"P2293","P","app-only","Давление топлива Регулятор 2 Производительность",,"Давление топлива Регулятор 2 Производительность"
"P2294","P","app-only","Давление топлива Регулятор 2 Управление Цепь",,"Давление топлива Регулятор 2 Управление Цепь"
"P2295","P","app-only","Давление топлива Регулятор 2 Управление Цепь Низкий",,"Давление топлива Регулятор 2 Управление Цепь Низкий"
"P2296","P","app-only","Давление топлива Регулятор 2 Управление Цепь Высокий",,"Давление топлива Регулятор 2 Управление Цепь Высокий"
"P2297","P","app-only","O2 Датчик Out of Range During Deceleration",,"O2 Датчик Out of Range During Deceleration"
"P2298","P","app-only","O2 Датчик Out of Range During Deceleration",,"O2 Датчик Out of Range During Deceleration"
"P2299","P","app-only","Brake Педаль Положение / Положение педали акселератора Incompatible",,"Brake Педаль Положение / Положение педали акселератора Incompatible"
"P2300","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2301","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2302","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2303","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2304","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2305","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2306","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2307","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2308","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2309","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2310","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2311","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2312","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2313","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2314","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2315","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2316","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2317","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2318","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2319","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2320","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2321","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2322","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2323","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2324","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2325","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2326","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2327","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2328","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2329","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2330","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2331","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2332","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2333","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2334","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2335","P","app-only","Зажигание Катушка ",,"Зажигание Катушка "
"P2336","P","app-only","Цилиндр #1 Above Детонация Порог",,"Цилиндр #1 Above Детонация Порог"
"P2337","P","app-only","Цилиндр #2 Above Детонация Порог",,"Цилиндр #2 Above Детонация Порог"
"P2338","P","app-only","Цилиндр #3 Above Детонация Порог",,"Цилиндр #3 Above Детонация Порог"
"P2339","P","app-only","Цилиндр #4 Above Детонация Порог",,"Цилиндр #4 Above Детонация Порог"
"P2340","P","app-only","Цилиндр #5 Above Детонация Порог",,"Цилиндр #5 Above Детонация Порог"
"P2341","P","app-only","Цилиндр #6 Above Детонация Порог",,"Цилиндр #6 Above Детонация Порог"
"P2342","P","app-only","Цилиндр #7 Above Детонация Порог",,"Цилиндр #7 Above Детонация Порог"
"P2343","P","app-only","Цилиндр #8 Above Детонация Порог",,"Цилиндр #8 Above Детонация Порог"
"P2344","P","app-only","Цилиндр #9 Above Детонация Порог",,"Цилиндр #9 Above Детонация Порог"
"P2345","P","app-only","Цилиндр #10 Above Детонация Порог",,"Цилиндр #10 Above Детонация Порог"
"P2346","P","app-only","Цилиндр #11 Above Детонация Порог",,"Цилиндр #11 Above Детонация Порог"
"P2347","P","app-only","Цилиндр #12 Above Детонация Порог",,"Цилиндр #12 Above Детонация Порог"
"P2400","P","app-only","Испарительная Выброс Система Утечка Detection Насос Управление Цепь/Обрыв",,"Испарительная Выброс Система Утечка Detection Насос Управление Цепь/Обрыв"
"P2401","P","app-only","Испарительная Выброс Система Утечка Detection Насос Управление Цепь Низкий",,"Испарительная Выброс Система Утечка Detection Насос Управление Цепь Низкий"
"P2402","P","app-only","Испарительная Выброс Система Утечка Detection Насос Управление Цепь Высокий",,"Испарительная Выброс Система Утечка Detection Насос Управление Цепь Высокий"
"P2403","P","app-only","Испарительная Выброс Система Утечка Detection Насос Sense Цепь/Обрыв",,"Испарительная Выброс Система Утечка Detection Насос Sense Цепь/Обрыв"
"P2404","P","app-only","Испарительная Выброс Система Утечка Detection Насос Sense Цепь Диапазон/Производительность",,"Испарительная Выброс Система Утечка Detection Насос Sense Цепь Диапазон/Производительность"
"P2405","P","app-only","Испарительная Выброс Система Утечка Detection Насос Sense Цепь Низкий",,"Испарительная Выброс Система Утечка Detection Насос Sense Цепь Низкий"
"P2406","P","app-only","Испарительная Выброс Система Утечка Detection Насос Sense Цепь Высокий",,"Испарительная Выброс Система Утечка Detection Насос Sense Цепь Высокий"
"P2407","P","app-only","Испарительная Выброс Система Утечка Detection Насос Sense Цепь Прерывистый/Нестабильный",,"Испарительная Выброс Система Утечка Detection Насос Sense Цепь Прерывистый/Нестабильный"
"P2408","P","app-only","Топливо Cap Датчик/Switch Цепь",,"Топливо Cap Датчик/Switch Цепь"
"P2409","P","app-only","Топливо Cap Датчик/Switch Цепь Диапазон/Производительность",,"Топливо Cap Датчик/Switch Цепь Диапазон/Производительность"
"P2410","P","app-only","Топливо Cap Датчик/Switch Цепь Низкий",,"Топливо Cap Датчик/Switch Цепь Низкий"
"P2411","P","app-only","Топливо Cap Датчик/Switch Цепь Высокий",,"Топливо Cap Датчик/Switch Цепь Высокий"
"P2412","P","app-only","Топливо Cap Датчик/Switch Цепь Прерывистый/Нестабильный",,"Топливо Cap Датчик/Switch Цепь Прерывистый/Нестабильный"
"P2413","P","app-only","Выхлоп Gas Recirculation Система Производительность",,"Выхлоп Gas Recirculation Система Производительность"
"P2414","P","app-only","O2 Датчик Выхлоп Sample Error",,"O2 Датчик Выхлоп Sample Error"
"P2415","P","app-only","O2 Датчик Выхлоп Sample Error",,"O2 Датчик Выхлоп Sample Error"
"P2416","P","app-only","O2 Датчик Сигналы перепутаны Ряд 1 Датчик 2 / Ряд 1 Датчик 3",,"O2 Датчик Сигналы перепутаны Ряд 1 Датчик 2 / Ряд 1 Датчик 3"
"P2417","P","app-only","O2 Датчик Сигналы перепутаны Ряд 2 Датчик 2 / Ряд 2 Датчик 3",,"O2 Датчик Сигналы перепутаны Ряд 2 Датчик 2 / Ряд 2 Датчик 3"
"P2418","P","app-only","Испарительная Выброс Система Switching Клапан Управление Цепь / Обрыв",,"Испарительная Выброс Система Switching Клапан Управление Цепь / Обрыв"
"P2419","P","app-only","Испарительная Выброс Система Switching Клапан Управление Цепь Низкий",,"Испарительная Выброс Система Switching Клапан Управление Цепь Низкий"
"P2420","P","app-only","Испарительная Выброс Система Switching Клапан Управление Цепь Высокий",,"Испарительная Выброс Система Switching Клапан Управление Цепь Высокий"
"P2421","P","app-only","Испарительная Выброс Система Вентиляция Клапан Заклинило Обрыв",,"Испарительная Выброс Система Вентиляция Клапан Заклинило Обрыв"
"P2422","P","app-only","Испарительная Выброс Система Вентиляция Клапан Заклинило Closed",,"Испарительная Выброс Система Вентиляция Клапан Заклинило Closed"
"P2423","P","app-only","HC Adsorption Катализатор Эффективность Ниже порога",,"HC Adsorption Катализатор Эффективность Ниже порога"
"P2424","P","app-only","HC Adsorption Катализатор Эффективность Ниже порога",,"HC Adsorption Катализатор Эффективность Ниже порога"
"P2425","P","app-only","Выхлоп Gas Recirculation Cooling Клапан Управление Цепь/Обрыв",,"Выхлоп Gas Recirculation Cooling Клапан Управление Цепь/Обрыв"
"P2426","P","app-only","Выхлоп Gas Recirculation Cooling Клапан Управление Цепь Низкий",,"Выхлоп Gas Recirculation Cooling Клапан Управление Цепь Низкий"
"P2427","P","app-only","Выхлоп Gas Recirculation Cooling Клапан Управление Цепь Высокий",,"Выхлоп Gas Recirculation Cooling Клапан Управление Цепь Высокий"
"P2428","P","app-only","Выхлоп Gas Температура Слишком высокий",,"Выхлоп Gas Температура Слишком высокий"
"P2429","P","app-only","Выхлоп Gas Температура Слишком высокий",,"Выхлоп Gas Температура Слишком высокий"
"P2430","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь"
"P2431","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Диапазон/Производительность",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Диапазон/Производительность"
"P2432","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Низкий",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Низкий"
"P2433","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Высокий",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Высокий"
"P2434","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Прерывистый/Нестабильный",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Прерывистый/Нестабильный"
"P2435","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь"
"P2436","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Диапазон/Производительность",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Диапазон/Производительность"
"P2437","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Низкий",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Низкий"
"P2438","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Высокий",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Высокий"
"P2439","P","app-only","Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Прерывистый/Нестабильный",,"Secondary Воздух Injection Система Воздух Поток/Давление Датчик Цепь Прерывистый/Нестабильный"
"P2440","P","app-only","Secondary Воздух Injection Система Switching Клапан Заклинило Обрыв",,"Secondary Воздух Injection Система Switching Клапан Заклинило Обрыв"
"P2441","P","app-only","Secondary Воздух Injection Система Switching Клапан Заклинило Closed",,"Secondary Воздух Injection Система Switching Клапан Заклинило Closed"
"P2442","P","app-only","Secondary Воздух Injection Система Switching Клапан Заклинило Обрыв",,"Secondary Воздух Injection Система Switching Клапан Заклинило Обрыв"
"P2443","P","app-only","Secondary Воздух Injection Система Switching Клапан Заклинило Closed",,"Secondary Воздух Injection Система Switching Клапан Заклинило Closed"
"P2444","P","app-only","Secondary Воздух Injection Система Насос Заклинило On",,"Secondary Воздух Injection Система Насос Заклинило On"
"P2445","P","app-only","Secondary Воздух Injection Система Насос Заклинило Off",,"Secondary Воздух Injection Система Насос Заклинило Off"
"P2446","P","app-only","Secondary Воздух Injection Система Насос Заклинило On",,"Secondary Воздух Injection Система Насос Заклинило On"
"P2447","P","app-only","Secondary Воздух Injection Система Насос Заклинило Off",,"Secondary Воздух Injection Система Насос Заклинило Off"
"P2500","P","app-only","Generator Лампа/L-Terminal Цепь Низкий",,"Generator Лампа/L-Terminal Цепь Низкий"
"P2501","P","app-only","Generator Лампа/L-Terminal Цепь Высокий",,"Generator Лампа/L-Terminal Цепь Высокий"
"P2502","P","app-only","Charging Система Напряжение",,"Charging Система Напряжение"
"P2503","P","app-only","Charging Система Напряжение Низкий",,"Charging Система Напряжение Низкий"
"P2504","P","app-only","Charging Система Напряжение Высокий",,"Charging Система Напряжение Высокий"
"P2505","P","app-only","Блок управления двигателем/Блок управления двигателем Power Вход Сигнал",,"Блок управления двигателем/Блок управления двигателем Power Вход Сигнал"
"P2506","P","app-only","Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Диапазон/Производительность",,"Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Диапазон/Производительность"
"P2507","P","app-only","Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Низкий",,"Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Низкий"
"P2508","P","app-only","Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Высокий",,"Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Высокий"
"P2509","P","app-only","Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Прерывистый",,"Блок управления двигателем/Блок управления двигателем Power Вход Сигнал Прерывистый"
"P2510","P","app-only","Блок управления двигателем/Блок управления двигателем Power Relay Sense Цепь Диапазон/Производительность",,"Блок управления двигателем/Блок управления двигателем Power Relay Sense Цепь Диапазон/Производительность"
"P2511","P","app-only","Блок управления двигателем/Блок управления двигателем Power Relay Sense Цепь Прерывистый",,"Блок управления двигателем/Блок управления двигателем Power Relay Sense Цепь Прерывистый"
"P2512","P","app-only","Event Data Recorder Запрос Цепь/ Обрыв",,"Event Data Recorder Запрос Цепь/ Обрыв"
"P2513","P","app-only","Event Data Recorder Запрос Цепь Низкий",,"Event Data Recorder Запрос Цепь Низкий"
"P2514","P","app-only","Event Data Recorder Запрос Цепь Высокий",,"Event Data Recorder Запрос Цепь Высокий"
"P2515","P","app-only","A/C Refrigerant Давление Датчик ",,"A/C Refrigerant Давление Датчик "
"P2516","P","app-only","A/C Refrigerant Давление Датчик ",,"A/C Refrigerant Давление Датчик "
"P2517","P","app-only","A/C Refrigerant Давление Датчик ",,"A/C Refrigerant Давление Датчик "
"P2518","P","app-only","A/C Refrigerant Давление Датчик ",,"A/C Refrigerant Давление Датчик "
"P2519","P","app-only","A/C Запрос ",,"A/C Запрос "
"P2520","P","app-only","A/C Запрос ",,"A/C Запрос "
"P2521","P","app-only","A/C Запрос ",,"A/C Запрос "
"P2522","P","app-only","A/C Запрос ",,"A/C Запрос "
"P2523","P","app-only","A/C Запрос ",,"A/C Запрос "
"P2524","P","app-only","A/C Запрос ",,"A/C Запрос "
"P2525","P","app-only","Разрежение Reservoir Давление Датчик Цепь",,"Разрежение Reservoir Давление Датчик Цепь"
"P2526","P","app-only","Разрежение Reservoir Давление Датчик Цепь Диапазон/Производительность",,"Разрежение Reservoir Давление Датчик Цепь Диапазон/Производительность"
"P2527","P","app-only","Разрежение Reservoir Давление Датчик Цепь Низкий",,"Разрежение Reservoir Давление Датчик Цепь Низкий"
"P2528","P","app-only","Разрежение Reservoir Давление Датчик Цепь Высокий",,"Разрежение Reservoir Давление Датчик Цепь Высокий"
"P2529","P","app-only","Разрежение Reservoir Давление Датчик Цепь Прерывистый",,"Разрежение Reservoir Давление Датчик Цепь Прерывистый"
"P2530","P","app-only","Зажигание Switch Run Положение Цепь",,"Зажигание Switch Run Положение Цепь"
"P2531","P","app-only","Зажигание Switch Run Положение Цепь Низкий",,"Зажигание Switch Run Положение Цепь Низкий"
"P2532","P","app-only","Зажигание Switch Run Положение Цепь Высокий",,"Зажигание Switch Run Положение Цепь Высокий"
"P2533","P","app-only","Зажигание Switch Run/Start Положение Цепь",,"Зажигание Switch Run/Start Положение Цепь"
"P2534","P","app-only","Зажигание Switch Run/Start Положение Цепь Низкий",,"Зажигание Switch Run/Start Положение Цепь Низкий"
"P2535","P","app-only","Зажигание Switch Run/Start Положение Цепь Высокий",,"Зажигание Switch Run/Start Положение Цепь Высокий"
"P2536","P","app-only","Зажигание Switch Accessory Положение Цепь",,"Зажигание Switch Accessory Положение Цепь"
"P2537","P","app-only","Зажигание Switch Accessory Положение Цепь Низкий",,"Зажигание Switch Accessory Положение Цепь Низкий"
"P2538","P","app-only","Зажигание Switch Accessory Положение Цепь Высокий",,"Зажигание Switch Accessory Положение Цепь Высокий"
"P2539","P","app-only","Низкий Давление Топливная система Датчик Цепь",,"Низкий Давление Топливная система Датчик Цепь"
"P2540","P","app-only","Низкий Давление Топливная система Датчик Цепь Диапазон/Производительность",,"Низкий Давление Топливная система Датчик Цепь Диапазон/Производительность"
"P2541","P","app-only","Низкий Давление Топливная система Датчик Цепь Низкий",,"Низкий Давление Топливная система Датчик Цепь Низкий"
"P2542","P","app-only","Низкий Давление Топливная система Датчик Цепь Высокий",,"Низкий Давление Топливная система Датчик Цепь Высокий"
"P2543","P","app-only","Низкий Давление Топливная система Датчик Цепь Прерывистый",,"Низкий Давление Топливная система Датчик Цепь Прерывистый"
"P2544","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2545","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2546","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2547","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2548","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2549","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2550","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2551","P","app-only","Torque Management Запрос Вход Сигнал ",,"Torque Management Запрос Вход Сигнал "
"P2552","P","app-only","Дроссельная заслонка/Топливо Inhibit Цепь",,"Дроссельная заслонка/Топливо Inhibit Цепь"
"P2553","P","app-only","Дроссельная заслонка/Топливо Inhibit Цепь Диапазон/Производительность",,"Дроссельная заслонка/Топливо Inhibit Цепь Диапазон/Производительность"
"P2554","P","app-only","Дроссельная заслонка/Топливо Inhibit Цепь Низкий",,"Дроссельная заслонка/Топливо Inhibit Цепь Низкий"
"P2555","P","app-only","Дроссельная заслонка/Топливо Inhibit Цепь Высокий",,"Дроссельная заслонка/Топливо Inhibit Цепь Высокий"
"P2556","P","app-only","Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь",,"Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь"
"P2557","P","app-only","Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь Диапазон/Производительность",,"Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь Диапазон/Производительность"
"P2558","P","app-only","Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь Низкий",,"Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь Низкий"
"P2559","P","app-only","Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь Высокий",,"Двигатель Охлаждающая жидкость Level Датчик/Switch Цепь Высокий"
"P2560","P","app-only","Двигатель Охлаждающая жидкость Level Низкий",,"Двигатель Охлаждающая жидкость Level Низкий"
"P2561","P","app-only","A/C Управление Модуль Requested MIL Illumination",,"A/C Управление Модуль Requested MIL Illumination"
